controller,condition_group,shift_type,shift_intensity,rmse_mean,rmse_std,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean,mean_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,mean_structure_gain,mean_disturbance_gain
adaptive_gru_nominal,compound_shift_ood,mass_shift+friction_shift,mild,0.10797728846470515,0.045379006751350905,0.06824476747877067,0.06537102349102497,0.06303348971737756,1.0,0.3500000635782878,0.10268214262194103,2.1690879348251553,0.898462254215716,0.20427607165442574,0.37038377589649624,0.11483346712258127,1.0,1.0,1.0
adaptive_gru_nominal,compound_shift_ood,mass_shift+friction_shift,severe,0.11716305712858836,0.05330074746701162,0.09058162280254894,0.13485998205012745,0.0738365612924099,1.0,0.34999995761447483,0.09671376066075431,2.7165758311748505,0.890558018886726,0.20563115013970268,0.38317030668258667,0.11003314372566012,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,actuator_delay,medium,0.08770889540513356,0.03797896477227935,0.05365367295841376,0.00907235142464439,0.047834355384111404,1.0,0.34999990463256836,0.1293752839167913,1.6644697785377502,0.9164668286674112,0.22296699384848276,0.2410427580277125,0.21323389311631522,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,actuator_delay,mild,0.10559647157788277,0.05338921039977346,0.061552826315164566,0.010257744385550419,0.05056769525011381,1.0,0.35000022252400714,0.10503328839937846,1.19977202018102,0.9006374890614294,0.1645818998416265,0.28024474779764813,0.10230190306901932,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,actuator_delay,severe,0.15324792514244714,0.040137603984795614,0.08344853669404984,0.014119303164382776,0.07653272027770679,1.0,0.35000022252400714,0.13779405256112418,2.1947052280108132,0.8583782417942939,0.19564555088678995,0.28342469533284503,0.1483798697590828,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,disturbance_burst,medium,0.1638291378815969,0.03311576811381565,0.10433733214934666,0.01697946184625228,0.0829053024450938,1.0,0.3500000635782878,0.14746856689453125,1.6567018429438274,0.8491954414179993,0.19970883429050446,0.27759404480457306,0.15777065108219782,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,disturbance_burst,mild,0.11683118591705959,0.0418025109414384,0.07925141602754593,0.012722990165154139,0.05865207811196645,1.0,0.34999990463256836,0.14446185529232025,1.546185294787089,0.8902518281611232,0.21574474374453226,0.26523152987162274,0.18909801542758942,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,disturbance_burst,severe,0.16035699844360352,0.007962086367086332,0.10135706265767415,0.014649123108635346,0.08417488758762677,1.0,0.3500000635782878,0.15003764629364014,2.161560297012329,0.8518576079092369,0.16784502565860748,0.24719507495562235,0.12511805693308511,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,friction_shift,medium,0.10076419512430827,0.029352797037855795,0.05766455580790838,0.012301824986934662,0.043609475096066795,1.0,0.35000014305114746,0.09497438619534175,0.9701519807179769,0.9044073557696368,0.15733672678470612,0.3125670353571574,0.07375116646289825,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,friction_shift,mild,0.0649454432229201,0.011030747255516936,0.039863672107458115,0.01365853069971005,0.028516557688514393,1.0,0.34999998410542804,0.09543260683616002,1.0981584787368774,0.9371565252528494,0.1531563699245453,0.30423446496327716,0.07180661087234814,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,friction_shift,severe,0.12315056969722112,0.053538426816423776,0.062128372490406036,0.007414564490318298,0.034025225788354874,1.0,0.3500000635782878,0.0969009871284167,0.8065741062164307,0.8849808973480361,0.17169498900572458,0.2650079280138016,0.12144955744345982,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,mass_shift,medium,0.12311259160439174,0.03301854524400803,0.08179239183664322,0.025462930866827566,0.07765314728021622,1.0,0.34999990463256836,0.11515146245559056,1.8592538833618164,0.8844834443694674,0.19685228168964386,0.30776970585187274,0.13712751617034277,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,mass_shift,mild,0.1160016084710757,0.014112391830715193,0.06840124229590099,0.014778770816822847,0.05544092506170273,1.0,0.35000014305114746,0.11910586307446162,1.8657889167467754,0.890532748522837,0.2056126594543457,0.2751970887184143,0.16814410438140234,1.0,1.0,1.0
adaptive_gru_nominal,hard_unseen_trajectory,mass_shift,severe,0.17341379821300507,0.013993472748613567,0.11076746135950089,0.052249821523825325,0.08719360704223315,1.0,0.35000022252400714,0.13076399266719818,2.417390783627828,0.8408446179721674,0.20991385479768118,0.2845697005589803,0.16971455514431,1.0,1.0,1.0
adaptive_gru_nominal,in_distribution_single_shift,actuator_delay,medium,0.09932841195000543,0.052225564983361505,0.06052553322580126,0.044416989406777754,0.04549542359179921,1.0,0.3500000105963813,0.11648495578103596,1.1440713008244832,0.9065268281877678,0.2369708220163981,0.2803666690985362,0.21360383182764053,1.0,1.0,1.0
