episode_id,controller,trajectory_kind,shift_type,shift_intensity,shift_time,unseen,rmse,mae,final_position_error,heading_error,success,recovery_time,control_smoothness,control_energy_proxy,peak_error_after_shift,mean_error_after_shift,robustness_score
eval_2024_actuator_delay_mild_00,adaptive,spline,actuator_delay,mild,5.066012913904611,1,0.08722762018442154,0.04751967638731003,0.018476661294698715,0.07323934137821198,1.0,0.35000038146972656,0.0605287030339241,0.17750729620456696,0.04026591777801514,0.02738049067556858,0.9164684651687425
eval_2024_actuator_delay_mild_01,baseline,sinusoid,actuator_delay,mild,7.426732725632322,0,0.036711856722831726,0.02289463020861149,0.01104087196290493,0.022176221013069153,1.0,0.34999990463256836,0.0537019819021225,0.33761975169181824,0.04066276177763939,0.02019619196653366,0.963953852158016
eval_2024_actuator_delay_mild_01,adaptive,sinusoid,actuator_delay,mild,7.426732725632322,0,0.03795643895864487,0.026223650202155113,0.02282603643834591,0.02297309972345829,1.0,0.34999990463256836,0.07685591280460358,0.3360118865966797,0.036316148936748505,0.021659953519701958,0.9627548785828489
eval_2024_actuator_delay_mild_02,baseline,lane_change,actuator_delay,mild,4.542818359875364,0,0.0681886076927185,0.03473833203315735,0.0022173903416842222,0.046846162527799606,1.0,0.34999990463256836,0.04821132868528366,0.1406903713941574,0.037723854184150696,0.0131623400375247,0.9340842814810087
eval_2024_actuator_delay_mild_02,adaptive,lane_change,actuator_delay,mild,4.542818359875364,0,0.06754881143569946,0.03477936610579491,0.006038222927600145,0.043163444846868515,1.0,0.34999990463256836,0.05259561538696289,0.13798779249191284,0.0397883802652359,0.014136523008346558,0.9346820963274988
eval_2024_actuator_delay_mild_03,baseline,figure8,actuator_delay,mild,4.907499809561948,0,0.13626061379909515,0.11522901058197021,0.08289802074432373,0.03597329929471016,1.0,0.34999990463256836,0.14278726279735565,5.301571369171143,0.20560035109519958,0.12526559829711914,0.8726151872932197
eval_2024_actuator_delay_mild_03,adaptive,figure8,actuator_delay,mild,4.907499809561948,0,0.1249709203839302,0.10557139664888382,0.07144936174154282,0.03330036997795105,1.0,0.34999990463256836,0.19973672926425934,5.2180986404418945,0.1689615696668625,0.10594776272773743,0.8825225656288392
eval_2024_actuator_delay_medium_00,baseline,sinusoid,actuator_delay,medium,3.678042900147788,1,0.05076586455106735,0.026218943297863007,0.004699775017797947,0.021894142031669617,1.0,0.35000014305114746,0.04934225603938103,0.15203580260276794,0.013772502541542053,0.006492352578788996,0.9505011905044534
eval_2024_actuator_delay_medium_00,adaptive,sinusoid,actuator_delay,medium,3.678042900147788,1,0.05152590572834015,0.025955714285373688,0.0028326658066362143,0.02329637110233307,1.0,0.35000014305114746,0.057285960763692856,0.15246795117855072,0.013418245129287243,0.0064972033724188805,0.9497790449255742
eval_2024_actuator_delay_medium_01,baseline,circle,actuator_delay,medium,5.3610510910962,0,0.0815461203455925,0.04025741666555405,0.014497105032205582,0.04850524663925171,1.0,0.34999990463256836,0.05262323468923569,0.3789893388748169,0.023799290880560875,0.0162968747317791,0.9216902002030523
